IOI,2016-05-04,YMC,No
Mixx,2016-05-02,Chiko,No
Bolbbalgan4,2016-04-22,Shofar,Yes
Matilda,2016-03-18,Box,No
WJSN,2016-02-25,Starship,Yes
Wable,2016-02-17,Kiwi,Yes
Bloomy,2016-02-01,DS,Yes
CoCoSoRi,2016-01-05,MOLE,No
Girls Girls,2015-12-09,H Brothers,No
I.C.E,2015-11-16,HS,Yes
TWICE,2015-10-20,JYP,Yes
Unicorn,2015-09-03,Cartoon Blue,No
myB,2015-08-25,Maroo,No
April,2015-08-24,DSP,No
DIA,2015-07-14,MBK,Yes
Playback,2015-06-25,Coridel,No
Oh My Girl,2015-04-21,WM,Yes
CLC,2015-03-19,Cube,Hiatus
Rubber Soul,2015-02-10,Happy Tribe,No
Gfriend,2015-01-15,Source,No
Sonamoo,2014-12-29,TS,No
Lovelyz,2014-11-17,Woollim,No
Wanna.B,2014-11-17,Zenith,No
D.Holic,2014-10-29,H.Mate,No
Minx,2014-09-18,Happy Face,No
Laboum,2014-08-27,NH,Yes
4TEN,2014-08-26,Jungle,No
Red Velvet,2014-08-01,SM,Yes
Mamamoo,2014-06-18,RBW,Yes
Bob Girls,2014-06-10,Chrome,No
Berry Good,2014-05-21,Asia Bridge,No
Badkiz,2014-03-24,Zoo,No
Melody Day,2014-02-25,Cre.Ker,No
Pungdeng-E,2013-12-11,DOMA,Hiatus
Wassup,2013-08-07,Mafia,No
2EYES,2013-07-20,SidusHQ,No
BESTie,2013-07-11,YNB,No
GI,2013-04-03,Simtong,No
Ladies' Code,2013-03-07,Polaris,Hiatus
15&,2012-10-05,JYP,No
Fiestar,2012-08-31,LOEN,No
Tiny-G,2012-08-23,GNG,No
Two X,2012-08-20,J. Tune,No
EvoL,2012-08-10,Stardom,No
D-Unit,2012-08-01,D-Business,No
AOA,2012-07-30,FNC,Yes
Crayon Pop,2012-07-18,Chrome,No
GLAM,2012-07-16,Big Hit,No
Tahiti,2012-06-23,J-line,No
Hello Venus,2012-05-09,Fantagio,No
EXID,2012-02-16,Yedang,Hiatus
SPICA,2012-02-07,CJ E&M,No
C-REAL,2011-10-11,NAP,No
Stellar,2011-08-28,Pascal,No
ChoColat,2011-08-16,Paramount,No
Blady,2011-05-16,Star Planet,No
Apink,2011-04-19,Plan A,Yes
Brave Girls,2011-04-08,Brave,Yes
Rania,2011-04-06,DR,No
GP Basic,2011-03-18,Jacyhan,No
F-ve Dolls,2011-01-20,MBK,No
Dal Shabet,2011-01-03,Happy Face,Hiatus
9Muses,2010-08-12,Star Empire,No
Girl's Day,2010-07-09,DreamT,Hiatus
miss A,2010-07-01,JYP,No
SISTAR,2010-03-06,Starship,No
Rainbow,2009-11-12,DSP,No
SECRET,2009-10-13,TS,No
f(x),2009-09-05,SM,No
T-ara,2009-07-29,MBK,Hiatus
4Minute,2009-06-15,Cube,No
2NE1,2009-05-06,YG,No
After School,2009-01-15,Pledis,No
Davichi,2008-02-04,CJ E&M,Yes
Sunny Hill,2007-09-20,Nega,No
Girls' Generation,2007-08-05,SM,Yes
KARA,2007-03-29,DSP,Yes
Wonder Girls,2007-02-13,JYP,No
Brown Eyed Girls,2006-03-02,Mystic,Yes
Gavy NJ,2005-11-11,Good Fellas,Yes
The Grace,2005-04-29,SM,No
Girls' World,2002-06-20,Liz,Yes
Jewelry,2001-03-30,Star Empire,No
S.E.S,1997-11-01,SM,No
Baby V.O.X,1997-07-05,DR Music,No
ADYA,,Starting House,Yes
BABYMONSTER,,YG,Pre-Debut
